id,last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
1922,Betts,Thaddeus,,,,,1789-02-04,M,sen,CT,,1,Whig,,,,,,,,,,,,B000428,,,,,,401414,,,,682,Thaddeus Betts
1923,Biddle,Richard,,,,,1796-03-25,M,rep,PA,22,,Anti Masonic,,,,,,,,,,,,B000443,,,,,,401429,,,,695,Richard Biddle
1924,Bond,William,Key,,,,1792-10-02,M,rep,OH,7,,Whig,,,,,,,,,,,,B000613,,,,,,401580,,,,842,William K. Bond
1925,Brackenridge,Henry,Marie,,,,1786-05-11,M,rep,PA,22,,Whig,,,,,,,,,,,,B000732,,,,,,401692,,,,944,Henry Marie Brackenridge
1926,Brown,Anson,,,,,,M,rep,NY,11,,Whig,,,,,,,,,,,,B000901,,,,,,401858,,,,1096,Anson Brown
1927,Bynum,Jesse,Atherton,,,,1797-05-23,M,rep,NC,2,,Democrat,,,,,,,,,,,,B001204,,,,,,402145,,,,1362,Jesse Atherton Bynum
1928,Carr,John,,,,,1793-04-09,M,rep,IN,3,,Democrat,,,,,,,,,,,,C000177,,,,,,402324,,,,1529,John Carr (Indiana politician)
1929,Carroll,James,,,,,1791-12-02,M,rep,MD,4,,Democrat,,,,,,,,,,,,C000188,,,,,,402335,,,,1539,James Carroll (Maryland politician)
1930,Carter,William,Blount,,,,1792-10-22,M,rep,TN,1,,Whig,,,,,,,,,,,,C000204,,,,,,402350,,,,1553,William Blount Carter
1931,Chapman,William,Williams,,,,1808-08-11,M,rep,IA,-1,,Democrat,,,,,,,,,,,,C000318,,,,,,402460,,,,,William W. Chapman
1932,Chinn,Thomas,Withers,,,,1791-11-22,M,rep,LA,2,,Whig,,,,,,,,,,,,C000363,,,,,,402502,,,,1700,Thomas Withers Chinn
1933,Connor,Henry,William,,,,1793-08-05,M,rep,NC,11,,Democrat,,,,,,,,,,,,C000700,,,,,,402825,,,,2002,Henry William Connor
1934,Cooper,William,Raworth,,,,1793-02-20,M,rep,NJ,-1,,Democrat,,,,,,,,,,,,C000766,,,,,,402886,,,,2060,William Raworth Cooper
1935,Crabb,George,Whitfield,,,,1804-02-22,M,rep,AL,3,,Whig,,,,,,,,,,,,C000847,,,,,,402963,,,,2124,George Whitfield Crabb
1936,Craig,Robert,,,,,,M,rep,VA,17,,Democrat,,,,,,,,,,,,C000859,,,,,,402974,,,,2135,Robert Craig (representative)
1937,Crary,Isaac,Edwin,,,,1804-10-02,M,rep,MI,1,,Democrat,,,,,,,,,,,,C000882,,,,,,402994,,,,2152,Isaac E. Crary
1938,Crockett,John,Wesley,,,,1807-07-10,M,rep,TN,12,,Whig,,,,,,,,,,,,C000920,,,,,,403032,,,,2188,John Wesley Crockett
1939,Curtis,Edward,,,,,1801-10-25,M,rep,NY,3,,Whig,,,,,,,,,,,,C001009,,,,,,403116,,,,2270,Edward Curtis (politician)
1940,Davee,Thomas,,,,,1797-12-09,M,rep,ME,8,,Democrat,,,,,,,,,,,,D000068,,,,,,403206,,,,2350,Thomas Davee
1941,Davies,Edward,,,,,,M,rep,PA,4,,Anti Masonic,,,,,,,,,,,,D000088,,,,,,403225,,,,2370,Edward Davies (Pennsylvania politician)
1942,Davis,John,,,,,1788-08-07,M,rep,PA,6,,Democrat,,,,,,,,,,,,D000116,,,,,,403251,,,,2395,John Davis (Pennsylvania politician)
1943,De La Montanya,James,,,,,1798-03-20,M,rep,NY,2,,Democrat,,,,,,,,,,,,D000205,,,,,,403310,,,,2475,James De La Montanya
1944,Dennis,John,,,,,,M,rep,MD,1,,Whig,,,,,,,,,,,,D000244,,,,,,403382,,,,2502,John Dennis (1807–1859)
1945,Dickerson,Philemon,,,,,1788-01-11,M,rep,NJ,-1,,Democrat,,,,,,,,,,,,D000309,,,,,,403430,,,,2562,Philemon Dickerson
1946,Dixon,Nathan,Fellows,,,,1774-12-13,M,sen,RI,,1,Whig,,,,,,,,,,,,D000376,,,,,,403491,,,,2622,Nathan F. Dixon I
1947,Doe,Nicholas,Bartlett,,,,1786-06-16,M,rep,NY,11,,Whig,,,,,,,,,,,,D000398,,,,,,403513,,,,2644,Nicholas B. Doe
1948,Downing,Charles,,,,,,M,rep,FL,-1,,,,,,,,,,,,,,D000472,,,,,,412035,,,,,Charles Downing
1949,Earll,Nehemiah,Hezekiah,,,,1787-10-05,M,rep,NY,23,,Democrat,,,,,,,,,,,,E000012,,,,,,403708,,,,2818,Nehemiah H. Earll
1950,Ely,John,,,,,1774-10-08,M,rep,NY,8,,Democrat,,,,,,,,,,,,E000166,,,,,,403857,,,,2954,John Ely (representative)
1951,Fine,John,,,,,1794-08-26,M,rep,NY,14,,Democrat,,,,,,,,,,,,F000125,,,,,,404080,,,,3148,John Fine (politician)
1952,Fisher,Charles,,,,,1789-10-20,M,rep,NC,10,,Democrat,,,,,,,,,,,,F000144,,,,,,404099,,,,3164,Charles Fisher (congressman)
1953,Fletcher,Isaac,,,,,1784-11-22,M,rep,VT,5,,Democrat,,,,,,,,,,,,F000201,,,,,,404156,,,,3217,Isaac Fletcher (American politician)
1954,Galbraith,John,,,,,1794-08-02,M,rep,PA,25,,Democrat,,,,,,,,,,,,G000011,,,,,,404388,,,,3429,John Galbraith (Pennsylvania politician)
1955,Garland,James,,,,,1791-06-06,M,rep,VA,12,,Conservative,,,,,,,,,,,,G000067,,,,,,404440,,,,3477,James Garland (Virginia politician)
1956,Garland,Rice,,,,,,M,rep,LA,3,,Whig,,,,,,,,,,,,G000070,,,,,,412150,,,,3479,Rice Garland
1957,Graves,William,Jordan,,,,,M,rep,KY,8,,Whig,,,,,,,,,,,,G000392,,,,,,404742,,,,3761,William J. Graves
1958,Griffin,John,King,,,,1789-08-13,M,rep,SC,9,,Democrat,,,,,,,,,,,,G000462,,,,,,404807,,,,3821,John K. Griffin
1959,Grinnell,Moses,Hicks,,,,1803-03-03,M,rep,NY,3,,Whig,,,,,,,,,,,,G000479,,,,,,404824,,,,3838,Moses H. Grinnell
1960,Grundy,Felix,,,,,1777-09-11,M,sen,TN,,1,Democrat,,,,,,,,,,,,G000509,,,,,,404854,,,,3865,Felix Grundy
1961,Hammond,Robert,Hanna,,,,1791-04-28,M,rep,PA,16,,Democrat,,,,,,,,,,,,H000132,,,,,,405014,,,,4011,Robert Hanna Hammond
1962,Hand,Augustus,Cincinnatus,,,,1803-09-04,M,rep,NY,13,,Democrat,,,,,,,,,,,,H000152,,,,,,405034,,,,4029,Augustus C. Hand
1963,Harrison,Albert,Galliton,,,,1800-06-26,M,rep,MO,-1,,Democrat,,,,,,,,,,,,H000261,,,,,,405138,,,,4122,Albert Galliton Harrison
1964,Hawes,Richard,,,,,1797-02-06,M,rep,KY,10,,Whig,,,,,,,,,,,,H000363,,,,,,405232,,,,4208,Richard Hawes
1965,Hawkins,Micajah,Thomas,,,,1790-05-20,M,rep,NC,6,,Democrat,,,,,,,,,,,,H000373,,,,,,405241,,,,4217,Micajah Thomas Hawkins
1966,Henderson,John,,,,,1797-02-28,M,sen,MS,,1,Whig,,,,,,,,,,,,H000482,,,,,,405345,,,,4309,John Henderson (Mississippi politician)
1967,Hill,John,,,,,1797-04-09,M,rep,NC,9,,Democrat,,,,,,,,,,,,H000594,,,,,,405456,,,,4412,John Hill (North Carolina politician)
1968,Hill,John,,,,,1800-07-18,M,rep,VA,5,,Whig,,,,,,,,,,,,H000595,,,,,,405457,,,,4413,John Hill (Virginia politician)
1969,Hillen Solomon,Solomon,,Jr.,,,1810-07-10,M,rep,MD,4,,Democrat,,,,,,,,,,,,H000617,,,,,,405476,,,,4432,Solomon Hillen Jr.
1970,Hoffman,Josiah,Ogden,,,,1793-05-03,M,rep,NY,3,,Whig,,,,,,,,,,,,H000687,,,,,,405540,,,,4491,Ogden Hoffman
1971,Holleman,Joel,,,,,1799-10-01,M,rep,VA,1,,Democrat,,,,,,,,,,,,H000721,,,,,,405573,,,,4521,Joel Holleman
1972,Holt,Hines,,,,,1805-04-27,M,rep,GA,-1,,Whig,,,,,,,,,,,,H000745,,,,,,405596,,,,4542,Hines Holt
1973,Howard,Tilghman,Ashurst,,,,1797-11-14,M,rep,IN,7,,Democrat,,,,,,,,,,,,H000844,,,,,,405691,,,,4631,Tilghman Howard
1974,Jackson,Thomas,Birdsall,,,,1797-03-24,M,rep,NY,1,,Democrat,,,,,,,,,,,,J000027,,,,,,405933,,,,4864,Thomas B. Jackson
1975,Jenifer,Daniel,,,,,1791-04-15,M,rep,MD,7,,Whig,,,,,,,,,,,,J000078,,,,,,405981,,,,4910,Daniel Jenifer
1976,Johnston,Charles,,,,,1793-02-14,M,rep,NY,5,,Whig,,,,,,,,,,,,J000184,,,,,,406079,,,,5000,Charles Johnston (representative)
1977,Jones,Nathaniel,,,,,1788-02-17,M,rep,NY,6,,Democrat,,,,,,,,,,,,J000243,,,,,,406136,,,,5053,Nathaniel Jones (representative)
1978,Kemble,Gouverneur,,,,,1786-01-25,M,rep,NY,4,,Democrat,,,,,,,,,,,,K000084,,,,,,406253,,,,5160,Gouverneur Kemble
1979,Kempshall,Thomas,,,,,,M,rep,NY,28,,Whig,,,,,,,,,,,,K000087,,,,,,412160,,,,5162,Thomas Kempshall
1980,Kille,Joseph,,,,,1790-04-12,M,rep,NJ,-1,,Democrat,,,,,,,,,,,,K000178,,,,,,406341,,,,5242,Joseph Kille
1981,Lawrence,Abbott,,,,,1792-12-16,M,rep,MA,1,,Whig,,,,,,,,,,,,L000130,,,,,,406635,,,,5507,Abbott Lawrence
1982,Leadbetter,Daniel,Parkhurst,,,,1797-09-10,M,rep,OH,13,,Democrat,,,,,,,,,,,,L000172,,,,,,406675,,,,5538,Daniel Parkhurst Leadbetter
1983,Leet,Isaac,,,,,,M,rep,PA,21,,Democrat,,,,,,,,,,,,L000211,,,,,,406714,,,,5575,Isaac Leet
1984,Leonard,Stephen,Banks,,,,1793-04-15,M,rep,NY,22,,Democrat,,,,,,,,,,,,L000249,,,,,,406752,,,,5614,Stephen B. Leonard
1985,Mallory,Meredith,,,,,1781-01-31,M,rep,NY,27,,Democrat,,,,,,,,,,,,M000081,,,,,,412067,,,,5939,Meredith Mallory
1986,Marvin,Richard,Pratt,,,,1803-12-23,M,rep,NY,31,,Whig,,,,,,,,,,,,M000211,,,,,,407230,,,,6049,Richard P. Marvin
1987,McCarty,William,Mason,,,,,M,rep,VA,14,,Whig,,,,,,,,,,,,M000322,,,,,,412165,,,,6141,William M. McCarty
1988,McClure,Charles,,,,,,M,rep,PA,13,,Democrat,,,,,,,,,,,,M000345,,,,,,407354,,,,6162,Charles McClure
1989,McCulloch,George,,,,,1792-02-22,M,rep,PA,14,,Democrat,,,,,,,,,,,,M000389,,,,,,407390,,,,6200,George McCulloch
1990,Mercer,Charles,Fenton,,,,1778-06-16,M,rep,VA,14,,Whig,,,,,,,,,,,,M000642,,,,,,407628,,,,6415,Charles F. Mercer
1991,Mitchell,Charles,F.,,,,1806-02-18,M,rep,NY,33,,Whig,,,,,,,,,,,,M000806,,,,,,412169,,,,6555,Charles F. Mitchell
1992,Monroe,James,,,,,1799-09-10,M,rep,NY,3,,Whig,,,,,,,,,,,,M000856,,,,,,407830,,,,6595,James Monroe (New York politician)
1993,Montgomery,William,,,,,1789-12-29,M,rep,NC,8,,Democrat,,,,,,,,,,,,M000874,,,,,,407846,,,,6609,William Montgomery (North Carolina politician)
1994,Morris,Samuel,Wells,,,,1786-09-01,M,rep,PA,17,,Democrat,,,,,,,,,,,,M000987,,,,,,407955,,,,6714,Samuel Wells Morris
1995,Naylor,Charles,,,,,1806-10-06,M,rep,PA,3,,Whig,,,,,,,,,,,,N000011,,,,,,408105,,,,6847,Charles Naylor
1996,Palen,Rufus,,,,,1807-02-25,M,rep,NY,7,,Whig,,,,,,,,,,,,P000032,,,,,,408443,,,,7170,Rufus Palen
1997,Parris,Virgil,Delphini,,,,1807-02-18,M,rep,ME,5,,Democrat,,,,,,,,,,,,P000081,,,,,,408491,,,,7213,Virgil D. Parris
1998,Paynter,Lemuel,,,,,,M,rep,PA,1,,Democrat,,,,,,,,,,,,P000155,,,,,,408559,,,,7275,Lemuel Paynter
1999,Peck,Luther,Christopher,,,,,M,rep,NY,30,,Whig,,,,,,,,,,,,P000179,,,,,,408583,,,,7297,Luther C. Peck
2000,Petrikin,David,,,,,1788-12-01,M,rep,PA,15,,Democrat,,,,,,,,,,,,P000267,,,,,,408667,,,,7375,David Petrikin
2001,Potter,William,Wilson,,,,1792-12-18,M,rep,PA,14,,Democrat,,,,,,,,,,,,P000469,,,,,,408855,,,,7560,William Wilson Potter
2002,Prentiss,John,Holmes,,,,1784-04-17,M,rep,NY,19,,Democrat,,,,,,,,,,,,P000509,,,,,,408894,,,,7599,John Holmes Prentiss
2003,Ramsey,William,Sterrett,,,,1810-06-12,M,rep,PA,13,,Democrat,,,,,,,,,,,,R000030,,,,,,409012,,,,7707,William Sterrett Ramsey
2004,Rariden,James,,,,,1795-02-14,M,rep,IN,5,,Whig,,,,,,,,,,,,R000066,,,,,,409046,,,,7740,James Rariden
2005,Reed,John,,,,,1781-09-02,M,rep,MA,11,,Whig,,,,,,,,,,,,R000121,,,,,,409101,,,,7789,John Reed Jr.
2006,Ripley,Eleazar,Wheelock,,,,1782-04-15,M,rep,LA,-1,,Democrat,,,,,,,,,,,,R000265,,,,,,409240,,,,7912,Eleazer Wheelock Ripley
2007,Rives,Francis,Everod,,,,1792-01-14,M,rep,VA,2,,Democrat,,,,,,,,,,,,R000284,,,,,,409257,,,,7928,Francis E. Rives
2008,Robinson,Thomas,,Jr.,,,,M,rep,DE,0,,Democrat,,,,,,,,,,,,R000353,,,,,,409324,,,,7991,Thomas Robinson Jr.
2009,Rogers,Edward,,,,,1787-05-30,M,rep,NY,23,,Democrat,,,,,,,,,,,,R000393,,,,,,409361,,,,8025,Edward Rogers (representative)
2010,Russell,David,Abel,,,,,M,rep,NY,12,,Whig,,,,,,,,,,,,R000524,,,,,,409482,,,,8127,David Abel Russell
2011,Ryall,Daniel,Bailey,,,,1798-01-30,M,rep,NJ,-1,,Democrat,,,,,,,,,,,,R000554,,,,,,409510,,,,8154,Daniel Bailey Ryall
2012,Samuels,Green,Berry,,,,1806-02-01,M,rep,VA,16,,Democrat,,,,,,,,,,,,S000028,,,,,,409547,,,,8192,Green Berry Samuels
2013,Shepard,Charles,Biddle,,,,1808-12-05,M,rep,NC,4,,Democrat,,,,,,,,,,,,S000329,,,,,,409826,,,,8439,Charles Biddle Shepard
2014,Smith,Albert,,,,,1793-01-03,M,rep,ME,2,,Democrat,,,,,,,,,,,,S000513,,,,,,409997,,,,8599,Albert Smith (Maine politician)
2015,Smith,John,,,,,1789-08-12,M,rep,VT,4,,Democrat,,,,,,,,,,,,S000565,,,,,,410049,,,,8648,John Smith (Vermont politician)
2016,Southard,Samuel,Lewis,,,,1787-06-09,M,sen,NJ,,1,Whig,,,,,,,,,,,,S000689,,,,,,410160,,,,8752,Samuel L. Southard
2017,Storrs,William,Lucius,,,,1795-03-25,M,rep,CT,2,,Whig,,,,,,,,,,,,S000977,,,,,,410436,,,,8998,William L. Storrs
2018,Strong,Theron,Rudd,,,,1802-11-07,M,rep,NY,25,,Democrat,,,,,,,,,,,,S001020,,,,,,410477,,,,9039,Theron R. Strong
2019,Swearingen,Henry,,,,,,M,rep,OH,19,,Democrat,,,,,,,,,,,,S001099,,,,,,412182,,,,9111,Henry Swearingen
2020,Tallmadge,Nathaniel,Pitcher,,,,1795-02-08,M,sen,NY,,1,Whig,,,,,,,,,,,,T000032,,,,,,410621,,,,9172,Nathaniel P. Tallmadge
2021,Tappan,Benjamin,,,,,1773-05-25,M,sen,OH,,1,Democrat,,,,,,,,,,,,T000039,,,,,,410627,,,,9177,Benjamin Tappan
2022,Taylor,Jonathan,,,,,,M,rep,OH,12,,Democrat,,,,,,,,,,,,T000092,,,,,,410675,,,,9223,Jonathan Taylor (congressman)
2023,Thompson,Waddy,,Jr.,,,1798-01-08,M,rep,SC,6,,Whig,,,,,,,,,,,,T000221,,,,,,410800,,,,9342,Waddy Thompson Jr.
2024,Vanderpoel,Aaron,,,,,1799-02-05,M,rep,NY,8,,Democrat,,,,,,,,,,,,V000028,,,,,,411122,,,,9605,Aaron Vanderpoel
2025,Vroom,Peter,Dumont,,,,1791-12-12,M,rep,NJ,-1,,Democrat,,,,,,,,,,,,V000123,,,,,,411177,,,,9692,Peter Dumont Vroom
2026,Wagener,David,Douglas,,,,1792-10-11,M,rep,PA,7,,Democrat,,,,,,,,,,,,W000016,,,,,,411195,,,,9709,David Douglas Wagener
2027,Wagner,Peter,Joseph,,,,1795-08-14,M,rep,NY,15,,Whig,,,,,,,,,,,,W000020,,,,,,411199,,,,9712,Peter Joseph Wagner
2028,Williams,Reuel,,,,,1783-06-02,M,sen,ME,,1,Democrat,,,,,,,,,,,,W000532,,,,,,411689,,,,10174,Reuel Williams
2029,Williams,Sherrod,,,,,,M,rep,KY,4,,Whig,,,,,,,,,,,,W000536,,,,,,411692,,,,10178,Sherrod Williams
2030,Worthington,John,Tolley Hood,,,,1788-11-01,M,rep,MD,3,,Democrat,,,,,,,,,,,,W000748,,,,,,411897,,,,10377,John Tolley Hood Worthington
2031,Anderson,Alexander,Outlaw,,,,1794-11-10,M,sen,TN,,2,Democrat,,,,,,,,,,,,A000181,,,,,,400836,,,,160,Alexander O. Anderson
2032,Graham,William,Alexander,,,,1804-09-05,M,sen,NC,,3,Whig,,,,,,,,,,,,G000362,,,,,,404716,,,,3739,William Alexander Graham
2033,Porter,Augustus,Seymour,,,,1798-01-18,M,sen,MI,,1,Whig,,,,,,,,,,,,P000437,,,,,,408828,,,,7531,Augustus Seymour Porter
2034,Harrison,William,Henry,,,,1773-02-09,M,sen,OH,,3,Adams,,,,,,,,,,,,H000279,,,,,,405153,,,,4138,William Henry Harrison
2035,Tyler,John,,,,,1790-03-29,M,sen,VA,,1,,,,,,,,,,,,,T000450,,,,,,411018,,,,9542,John Tyler
2036,Alford,Julius,Caesar,,,,1799-05-10,M,rep,GA,-1,,Whig,,,,,,,,,,,,A000104,,,,,,400762,,,,91,Julius Caesar Alford
2037,Allen,Elisha,Hunt,,,,1804-01-28,M,rep,ME,8,,Whig,,,,,,,,,,,,A000120,,,,,,400777,,,,105,Elisha Hunt Allen
2038,Andrews,Landaff,Watson,,,,1803-02-12,M,rep,KY,11,,Whig,,,,,,,,,,,,A000247,,,,,,400880,,,,197,Landaff Andrews
2039,Andrews,Sherlock,James,,,,1801-11-17,M,rep,OH,15,,Whig,,,,,,,,,,,,A000249,,,,,,400884,,,,199,Sherlock James Andrews
2040,Appleton,Nathan,,,,,1779-10-06,M,rep,MA,1,,Whig,,,,,,,,,,,,A000269,,,,,,400908,,,,219,Nathan Appleton
2041,Archer,William,Segar,,,,1789-03-05,M,sen,VA,,2,Whig,,,,,,,,,,,,A000275,,,,,,400914,,,,225,William S. Archer
2042,Arnold,Thomas,Dickens,,,,1798-05-03,M,rep,TN,1,,Whig,,,,,,,,,,,,A000297,,,,,,400939,,,,249,Thomas Dickens Arnold
2043,Aycrigg,John,Bancker,,,,1798-07-09,M,rep,NJ,-1,,Whig,,,,,,,,,,,,A000350,,,,,,401001,,,,305,John Bancker Aycrigg
2044,Babcock,Alfred,,,,,1805-04-15,M,rep,NY,33,,Whig,,,,,,,,,,,,B000003,,,,,,401009,,,,313,Alfred Babcock
2045,Banks,Linn,,,,,1784-01-23,M,rep,VA,13,,Democrat,,,,,,,,,,,,B000115,,,,,,401116,,,,408,Linn Banks
2046,Barrow,Alexander,,,,,1801-03-27,M,sen,LA,,2,Whig,,,,,,,,,,,,B000183,,,,,,401182,,,,469,Alexander Barrow
2047,Barton,Richard,Walker,,,,,M,rep,VA,15,,Whig,,,,,,,,,,,,B000214,,,,,,401211,,,,496,Richard W. Barton
2048,Bates,Isaac,Chapman,,,,1779-01-23,M,sen,MA,,2,Whig,,,,,,,,,,,,B000233,,,,,,401228,,,,513,Isaac C. Bates
2049,Bayard,Richard,Henry,,,,1796-09-26,M,sen,DE,,1,Whig,,,,,,,,,,,,B000251,,,,,,401245,,,,527,Richard H. Bayard
2050,Beeson,Henry,White,,,,1791-09-14,M,rep,PA,20,,Democrat,,,,,,,,,,,,B000313,,,,,,401305,,,,582,Henry White Beeson
2051,Birdseye,Victory,,,,,1782-12-25,M,rep,NY,23,,Whig,,,,,,,,,,,,B000484,,,,,,401465,,,,729,Victory Birdseye
2052,Black,Henry,,,,,1783-02-25,M,rep,PA,18,,Whig,,,,,,,,,,,,B000498,,,,,,401478,,,,742,Henry Black (Representative)
2053,Blair,Bernard,,,,,1801-05-24,M,rep,NY,12,,Whig,,,,,,,,,,,,B000522,,,,,,401498,,,,763,Bernard Blair
2054,Boardman,William,Whiting,,,,1794-10-10,M,rep,CT,2,,Whig,,,,,,,,,,,,B000578,,,,,,401549,,,,811,William Whiting Boardman
2055,Borden,Nathaniel,Briggs,,,,1801-04-15,M,rep,MA,10,,Whig,,,,,,,,,,,,B000636,,,,,,401601,,,,860,Nathaniel B. Borden
2056,Bowne,Samuel,Smith,,,,1800-04-11,M,rep,NY,19,,Democrat,,,,,,,,,,,,B000708,,,,,,401670,,,,922,Samuel S. Bowne
2057,Brewster,David,P.,,,,1801-06-15,M,rep,NY,17,,Democrat,,,,,,,,,,,,B000814,,,,,,401771,,,,1019,David P. Brewster
2058,Briggs,George,Nixon,,,,1796-04-12,M,rep,MA,7,,Whig,,,,,,,,,,,,B000830,,,,,,401787,,,,1033,George N. Briggs
2059,Brockway,John,Hall,,,,1801-01-31,M,rep,CT,6,,Whig,,,,,,,,,,,,B000854,,,,,,401811,,,,1054,John H. Brockway
2060,Bronson,David,,,,,1800-02-08,M,rep,ME,4,,Whig,,,,,,,,,,,,B000868,,,,,,401825,,,,1066,David Bronson
2061,Butler,Sampson,Hale,,,,1803-01-03,M,rep,SC,4,,Democrat,,,,,,,,,,,,B001189,,,,,,402131,,,,1349,Sampson H. Butler
2062,Butler,William,,,,,1790-02-01,M,rep,SC,6,,Whig,,,,,,,,,,,,B001195,,,,,,402137,,,,1355,William Butler (1790–1850)
2063,Butler,William,Orlando,,,,1791-04-19,M,rep,KY,13,,Democrat,,,,,,,,,,,,B001197,,,,,,402139,,,,1357,William Orlando Butler
2064,Caldwell,Greene,Washington,,,,1806-04-13,M,rep,NC,11,,Democrat,,,,,,,,,,,,C000032,,,,,,402193,,,,1406,Greene Washington Caldwell
2065,Caldwell,Patrick,Calhoun,,,,1801-03-10,M,rep,SC,9,,Democrat,,,,,,,,,,,,C000039,,,,,,402200,,,,1413,Patrick C. Caldwell
2066,Calhoun,William,Barron,,,,1796-12-29,M,rep,MA,8,,Whig,,,,,,,,,,,,C000046,,,,,,402207,,,,1420,William B. Calhoun
2067,Campbell,Thomas,Jefferson,,,,,M,rep,TN,4,,Whig,,,,,,,,,,,,C000101,,,,,,402254,,,,1465,Thomas Jefferson Campbell
2068,Caruthers,Robert,Looney,,,,1800-07-31,M,rep,TN,7,,Whig,,,,,,,,,,,,C000209,,,,,,402355,,,,1558,Robert L. Caruthers
2069,Cary,George,Booth,,,,,M,rep,VA,2,,Democrat,,,,,,,,,,,,C000213,,,,,,402359,,,,1562,George B. Cary
2070,Casey,Zadok,,,,,1796-03-07,M,rep,IL,2,,Ind. Democrat,,,,,,,,,,,,C000230,,,,,,402375,,,,1579,Zadok Casey
2071,Childs,Timothy,,,,,,M,rep,NY,28,,Whig,,,,,,,,,,,,C000355,,,,,,402494,,,,1693,Timothy Childs
2072,Chittenden,Thomas,Cotton,,,,1788-08-30,M,rep,NY,18,,Whig,,,,,,,,,,,,C000374,,,,,,402513,,,,1710,Thomas C. Chittenden
2073,Choate,Rufus,,,,,1799-10-01,M,sen,MA,,1,Whig,,,,,,,,,,,,C000375,,,,,,402514,,,,1711,Rufus Choate
2074,Clark,John,Chamberlain,,,,1793-01-14,M,rep,NY,21,,Whig,,,,,,,,,,,,C000443,,,,,,402581,,,,1775,John C. Clark
2075,Clarke,Staley,Nichols,,,,1794-05-24,M,rep,NY,31,,Whig,,,,,,,,,,,,C000471,,,,,,402609,,,,1801,Staley N. Clarke
2076,Clayton,Thomas,,,,,,M,sen,DE,,2,Whig,,,,,,,,,,,,C000499,,,,,,402636,,,,1825,Thomas Clayton
2077,Clifford,Nathan,,,,,1803-08-18,M,rep,ME,1,,Democrat,,,,,,,,,,,,C000518,,,,,,402653,,,,1841,Nathan Clifford
2078,Cowen,Benjamin,Sprague,,,,1793-09-27,M,rep,OH,11,,Whig,,,,,,,,,,,,C000821,,,,,,402939,,,,2103,Benjamin S. Cowen
2079,Cravens,James,Harrison,,,,1802-08-02,M,rep,IN,4,,Whig,,,,,,,,,,,,C000884,,,,,,402996,,,,2154,James H. Cravens
2080,Crawford,George,Walker,,,,1798-12-22,M,rep,GA,-1,,Whig,,,,,,,,,,,,C000890,,,,,,403002,,,,2160,George W. Crawford
2081,Cushing,Caleb,,,,,1800-01-17,M,rep,MA,3,,Whig,,,,,,,,,,,,C001016,,,,,,403123,,,,2277,Caleb Cushing
2082,Dimock,Davis,,Jr.,,,1801-09-17,M,rep,PA,17,,Democrat,,,,,,,,,,,,D000352,,,,,,403470,,,,2602,Davis Dimock Jr.
2083,Doan,William,,,,,1792-04-04,M,rep,OH,5,,Democrat,,,,,,,,,,,,D000380,,,,,,403496,,,,2627,William Doan
2084,Doig,Andrew,Wheeler,,,,1799-07-24,M,rep,NY,16,,Democrat,,,,,,,,,,,,D000400,,,,,,403514,,,,2645,Andrew W. Doig
2085,Eastman,Ira,Allen,,,,1809-01-01,M,rep,NH,-1,,Democrat,,,,,,,,,,,,E000020,,,,,,403716,,,,2824,Ira Allen Eastman
2086,Edwards,John,,,,,,M,rep,PA,4,,Whig,,,,,,,,,,,,E000074,,,,,,403766,,,,2868,John Edwards (Pennsylvania politician)
2087,Edwards,John,Cummins,,,,1804-06-24,M,rep,MO,-1,,Democrat,,,,,,,,,,,,E000076,,,,,,403768,,,,2870,John Cummins Edwards
2088,Egbert,Joseph,,,,,1807-04-10,M,rep,NY,2,,Democrat,,,,,,,,,,,,E000088,,,,,,403781,,,,2880,Joseph Egbert
2089,Evans,George,,,,,1797-01-12,M,sen,ME,,2,Whig,,,,,,,,,,,,E000241,,,,,,403925,,,,3007,George Evans (American politician)
2090,Everett,Horace,,,,,1779-07-17,M,rep,VT,3,,Whig,,,,,,,,,,,,E000265,,,,,,403945,,,,3027,Horace Everett
2091,Ferris,Charles,Goadsby,,,,,M,rep,NY,3,,Democrat,,,,,,,,,,,,F000090,,,,,,412148,,,,3118,Charles G. Ferris
2092,Floyd,Charles,Albert,,,,,M,rep,NY,1,,Democrat,,,,,,,,,,,,F000219,,,,,,404174,,,,3232,Charles A. Floyd
2093,Fornance,Joseph,,,,,1804-10-18,M,rep,PA,5,,Democrat,,,,,,,,,,,,F000276,,,,,,404226,,,,3279,Joseph Fornance
2094,Foster,A.,Lawrence,,,,1802-09-17,M,rep,NY,23,,Whig,,,,,,,,,,,,F000296,,,,,,412038,,,,3298,A. Lawrence Foster
2095,Foster,Thomas,Flournoy,,,,1790-11-23,M,rep,GA,-1,,Whig,,,,,,,,,,,,F000314,,,,,,404263,,,,3316,Thomas Flournoy Foster
2096,Fulton,William,Savin,,,,1795-06-02,M,sen,AR,,2,Democrat,,,,,,,,,,,,F000425,,,,,,404366,,,,3411,William S. Fulton
